"id","USyV","Suelos","Grad_Pend","P_sum","Esc_sum","Agua_D","Agua_D_log","P_cat","Esc_cat","Agua_D_cat","cobertura","suelo","pendiente","precipitacion","escorrentia","aporte"
77,"Sec Bosque Tropical","Regosol","15°-35°",1613494.79589844,138221.269885063,321182368.95,19.5875196504545,"Media","Baja","Alta","forestal_secundaria","suelo_infiltracion_baja","pend_alta","prec_media","esc_baja","aporte_alto"
78,"Sec Bosque Tropical","Regosol","6°-15°",3204703.03149414,330856.349954605,1538286.63,14.2461804271672,"Alta","Baja","Media","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_baja","aporte_medio"
79,"Bosque Tropical","Regosol","6°-15°",955969.053405762,45167.0738082491,30550651.74,17.2348966096384,"Baja","Baja","Alta","forestal_conservada","suelo_infiltracion_baja","pend_media","prec_baja","esc_baja","aporte_alto"
80,"Pastizal","Regosol","6°-15°",1229245.31921387,22691.081584652,30624027.17,17.2372954931012,"Media","Baja","Alta","agropecuaria","suelo_infiltracion_baja","pend_media","prec_media","esc_baja","aporte_alto"
81,"Sec Bosque Tropical","Regosol","3°-6°",1172654.06311035,200457.262451172,2201149.62,14.6044907906979,"Media","Baja","Media","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_media","esc_baja","aporte_medio"
82,"Sec Bosque Tropical","Regosol","15°-35°",731946.040771484,26152.3647909164,325184622.37,19.5999036509099,"Baja","Baja","Alta","forestal_secundaria","suelo_infiltracion_baja","pend_alta","prec_baja","esc_baja","aporte_alto"
83,"Sec Bosque Tropical","Regosol","6°-15°",2311814.91137695,212584.537367821,212584.54,12.2670997275251,"Alta","Baja","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_baja","aporte_bajo"
84,"Pastizal","Cambisol","3°-6°",71817.1795654297,14658.1805725098,14658.18,9.59282203936056,"Baja","Baja","Baja","agropecuaria","suelo_infiltracion_media","pend_media","prec_baja","esc_baja","aporte_bajo"
85,"Pastizal","Regosol","6°-15°",551310.296813965,10077.8498372249,327434397.89,19.6067982842423,"Baja","Baja","Alta","agropecuaria","suelo_infiltracion_baja","pend_media","prec_baja","esc_baja","aporte_alto"
86,"Sec Bosque Tropical","Regosol","15°-35°",654899.351196289,10760.4233211856,325484317.95,19.6008248431836,"Baja","Baja","Alta","forestal_secundaria","suelo_infiltracion_baja","pend_alta","prec_baja","esc_baja","aporte_alto"
87,"Sec Bosque Tropical","Regosol","6°-15°",2341343.96484375,165948.47287479,327600346.36,19.6073049702601,"Alta","Baja","Alta","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_baja","aporte_alto"
88,"Pastizal","Regosol","3°-6°",1171564.97790527,218056.6043396,218056.6,12.2925145270547,"Media","Baja","Baja","agropecuaria","suelo_infiltracion_baja","pend_media","prec_media","esc_baja","aporte_bajo"
89,"Pastizal","Phaeozem","6°-15°",1277567.61480713,36844.8753167391,360495221.26,19.7029892615085,"Media","Baja","Alta","agropecuaria","suelo_infiltracion_alta","pend_media","prec_media","esc_baja","aporte_alto"
90,"Bosque Tropical","Regosol","6°-15°",1285206.41894531,23364.9446516037,23364.94,10.0590346854402,"Media","Baja","Baja","forestal_conservada","suelo_infiltracion_baja","pend_media","prec_media","esc_baja","aporte_bajo"
91,"Bosque Tropical","Regosol","6°-15°",960872.993103027,5750.47785842419,5750.48,8.65721249197628,"Baja","Baja","Baja","forestal_conservada","suelo_infiltracion_baja","pend_media","prec_baja","esc_baja","aporte_bajo"
92,"Sec Bosque Tropical","Regosol","6°-15°",1450637.42010498,66390.8761445116,327973940.9,19.6084447177656,"Media","Baja","Alta","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_media","esc_baja","aporte_alto"
93,"Pastizal","Regosol","3°-6°",1795016.04833984,350755.710006714,350755.71,12.7678481282165,"Media","Baja","Baja","agropecuaria","suelo_infiltracion_baja","pend_media","prec_media","esc_baja","aporte_bajo"
94,"Bosque Tropical","Phaeozem","6°-15°",493926.096923828,13038.9886341095,329357855.92,19.6126554286037,"Baja","Baja","Alta","forestal_conservada","suelo_infiltracion_alta","pend_media","prec_baja","esc_baja","aporte_alto"
95,"Bosque Tropical","Phaeozem","6°-15°",1604606.37420654,67224.1708431244,329593242.68,19.6133698572458,"Media","Baja","Alta","forestal_conservada","suelo_infiltracion_alta","pend_media","prec_media","esc_baja","aporte_alto"
96,"Bosque Tropical","Regosol","6°-15°",520019.140319824,50506.4282913208,50506.43,10.829875733154,"Baja","Baja","Baja","forestal_conservada","suelo_infiltracion_baja","pend_media","prec_baja","esc_baja","aporte_bajo"
97,"Bosque Tropical","Regosol","6°-15°",2024448.43939209,114740.938115248,327715087.3,19.6076551556363,"Alta","Baja","Alta","forestal_conservada","suelo_infiltracion_baja","pend_media","prec_alta","esc_baja","aporte_alto"
98,"Sec Bosque Tropical","Regosol","6°-15°",2749441.00317383,435524.22467041,435524.22,12.9843079840457,"Alta","Media","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_media","aporte_bajo"
99,"Sec Bosque Tropical","Regosol","15°-35°",1283834.83837891,43423.2400806062,601422.14,13.3070540256836,"Media","Baja","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_alta","prec_media","esc_baja","aporte_bajo"
100,"Bosque Tropical","Regosol","15°-35°",1553780.18078613,93339.0564188957,328883726.01,19.611214832921,"Media","Baja","Alta","forestal_conservada","suelo_infiltracion_baja","pend_alta","prec_media","esc_baja","aporte_alto"
101,"Bosque Tropical","Regosol","6°-15°",583120.374389648,46981.9731445312,798895.73,13.5909869673337,"Baja","Baja","Baja","forestal_conservada","suelo_infiltracion_baja","pend_media","prec_baja","esc_baja","aporte_bajo"
102,"Pastizal","Phaeozem","15°-35°",794016.366027832,7371.00266001746,362696428.21,19.7090767591812,"Baja","Baja","Alta","agropecuaria","suelo_infiltracion_alta","pend_alta","prec_baja","esc_baja","aporte_alto"
103,"Sec Bosque Tropical","Regosol","6°-15°",2943636.17724609,115332.528160691,1507942.62,14.2262574395832,"Alta","Baja","Media","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_baja","aporte_medio"
104,"Sec Bosque Tropical","Cambisol","6°-15°",297637.934570312,50529.5809631348,50529.58,10.8303339765498,"Baja","Baja","Baja","forestal_secundaria","suelo_infiltracion_media","pend_media","prec_baja","esc_baja","aporte_bajo"
105,"Pastizal","Regosol","6°-15°",946816.97076416,52899.7359580994,1298540.36,14.0767521617148,"Baja","Baja","Baja","agropecuaria","suelo_infiltracion_baja","pend_media","prec_baja","esc_baja","aporte_bajo"
106,"Sec Bosque Tropical","Regosol","15°-35°",1894300.38543701,131145.517407358,362827573.73,19.7094382786367,"Media","Baja","Alta","forestal_secundaria","suelo_infiltracion_baja","pend_alta","prec_media","esc_baja","aporte_alto"
107,"Sec Bosque Tropical","Regosol","6°-15°",121474.82800293,7343.10126876831,1065091.11,13.8785718416487,"Baja","Baja","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_baja","esc_baja","aporte_bajo"
108,"Bosque Tropical","Regosol","6°-15°",1194509.02514648,124191.447761536,211156.2,12.2603581587625,"Media","Baja","Baja","forestal_conservada","suelo_infiltracion_baja","pend_media","prec_media","esc_baja","aporte_bajo"
109,"Sec Bosque Tropical","Regosol","6°-15°",986219.313842773,68180.5756835938,875262.76,13.6822805599158,"Baja","Baja","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_baja","esc_baja","aporte_bajo"
110,"Sec Bosque Tropical","Regosol","6°-15°",2258724.09942627,180549.514232635,1245640.62,14.0351613125596,"Alta","Baja","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_baja","aporte_bajo"
111,"Bosque Tropical","Regosol","3°-6°",1939976.07128906,204335.25328064,204335.25,12.2275222002104,"Media","Baja","Baja","forestal_conservada","suelo_infiltracion_baja","pend_media","prec_media","esc_baja","aporte_bajo"
112,"Bosque Tropical","Regosol","6°-15°",2227280.75964355,182485.248664856,182485.25,12.1144301067005,"Alta","Baja","Baja","forestal_conservada","suelo_infiltracion_baja","pend_media","prec_alta","esc_baja","aporte_bajo"
113,"Sec Bosque Tropical","Regosol","6°-15°",1024755.31726074,103992.189128876,318087.13,12.6700837617314,"Baja","Baja","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_baja","esc_baja","aporte_bajo"
114,"Sec Bosque Tropical","Regosol","6°-15°",2124056.32659912,214094.940982819,214094.94,12.2741795112966,"Alta","Baja","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_baja","aporte_bajo"
115,"Sec Bosque Tropical","Regosol","6°-15°",4264727.27593994,486788.275382996,486788.28,13.095586618489,"Alta","Media","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_media","aporte_bajo"
116,"Bosque Tropical","Regosol","15°-35°",2377381.45214844,18351.6507027978,367128748.85,19.7212231615269,"Alta","Baja","Alta","forestal_conservada","suelo_infiltracion_baja","pend_alta","prec_alta","esc_baja","aporte_alto"
117,"Bosque Tropical","Regosol","6°-15°",1500460.96350098,28043.09472543,983095.81,13.798462878512,"Media","Baja","Baja","forestal_conservada","suelo_infiltracion_baja","pend_media","prec_media","esc_baja","aporte_bajo"
118,"Agricultura","Phaeozem","15°-35°",582121.082275391,1121.24885928631,367266866.12,19.7215993001324,"Baja","Baja","Alta","agropecuaria","suelo_infiltracion_alta","pend_alta","prec_baja","esc_baja","aporte_alto"
119,"Sec Bosque Tropical","Regosol","15°-35°",3551134.37841797,253140.405277252,955052.72,13.7695228691897,"Alta","Baja","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_alta","prec_alta","esc_baja","aporte_bajo"
120,"Sec Bosque Tropical","Regosol","6°-15°",2963407.11859131,383825.182121277,383825.18,12.8579450728401,"Alta","Media","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_media","aporte_bajo"
121,"Bosque Tropical","Regosol","15°-35°",2354819.33325195,32567.5575818745,136996.02,11.8277144527489,"Alta","Baja","Baja","forestal_conservada","suelo_infiltracion_baja","pend_alta","prec_alta","esc_baja","aporte_bajo"
122,"Pastizal","Regosol","6°-15°",4259967.92425537,547211.755092621,547211.76,13.2125929637321,"Alta","Media","Baja","agropecuaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_media","aporte_bajo"
123,"Bosque de Encino","Cambisol","6°-15°",1010574.14477539,244285.077362061,3204187.77,14.9799695024136,"Baja","Baja","Media","forestal_conservada","suelo_infiltracion_media","pend_media","prec_baja","esc_baja","aporte_medio"
124,"Bosque de Encino","Cambisol","6°-15°",1857656.22473145,436863.271865845,436863.27,12.9873778308674,"Media","Media","Baja","forestal_conservada","suelo_infiltracion_media","pend_media","prec_media","esc_media","aporte_bajo"
